123 151 10
Exit1/3 1 0
Exit2 1 0
Exit4 1 0
R 0 0
R(-1) 0 0
S 0 0
S(-1)B 0 0
D(-1)A 0 0
D(-1)B 0 0
D 0 0
R0 0 0
S0A 0 0
S0B 0 0
S0D 0 0
S0C 0 0
D0A 0 0
D0B 0 0
R1A 0 0
R1B 0 0
S1A 0 0
S1B 0 0
S1C 0 0
D1A 0 0
D1B 0 0
D1C 0 0
R2A 0 0
R2B 0 0
S2 0 0
101 0 22
102-103 0 55
104 0 42
105 0 44
130-131 0 28
132 0 20
133 0 26
134 0 55
135 0 48
136-137 0 22
160-163 0 44
164-169 0 51
170-172 0 66
173 0 22
174 0 26
179-182 0 53
183-185 0 44
186 0 66
206-218 0 62
200-206 0 44
219-230 0 155
231 0 15
232-236 0 28
301-304 0 31
305 0 13
306-316 0 88
317-328 0 66
329-337 0 62
338 0 20
339-344 0 62
346-348 0 26
347 0 11
400-402 0 26
403 0 31
404 0 22
405 0 40
406 0 31
408 0 22
409-413 0 44
414-423 0 42
424-433 0 117
500 0 26
501-503 0 44
505 0 22
507-517 0 66
519-525 0 22
526 0 11
535-544 0 57
545-551 0 22
552-557 0 44
558-564 0 51
600 0 15
601-604 0 22
605 0 13
606 0 8
607-632 0 62
633-640 0 77
641-659 0 133
660 0 17
661 0 11
662-663 0 62
700 0 33
701 0 22
702 0 26
703 0 15
705-707 0 33
708 0 22
709 0 22
710 0 26
711 0 42
712 0 57
715 0 22
716-734 0 80
855-864 0 20
848-855 0 40
844-847 0 33
836-843 0 35
803 0 22
802 0 22
801 0 22
804-825 0 44
831-835 0 28
826-829 0 24
830 0 11
909 0 8
910 0 22
901-908 0 26
911-916 0 66
917-923 0 44
900 0 53
924 0 28
945-952 0 26
925-930 0 44
944 0 22
931-943 0 66
Exit1/3 R 2
Exit1/3 D 2
Exit1/3 S 2
R(-1) R0 2
S S0A 2
S(-1)B S0D 2
D(-1)A D0A 2
D(-1)B D0B 2
Exit2 R1A 2
R0 R1B 2
S0A S1A 2
S0B S1B 2
S0C S1C 2
D0A D1A 2
D0B D1B 2
Exit4 D1C 2
R1A R2A 2
R1B R2B 2
S1A S2 2
136-137 135 0
135 133 0
135 134 0
134 S(-1)B 0
183-185 186 0
132 133 1
130-131 132 1
S 130-131 1
D(-1)B 160-163 1
160-163 D 1
164-169 160-163 1
183-185 D 1
170-172 D 1
170-172 D(-1)A 1
170-172 186 1
186 179-182 1
186 173 1
173 174 1
100 R 1
101 100 1
102-103 101 1
102-103 104 1
104 105 1
105 R(-1) 1
100 R(-1) 1
219-230 232-236 0
409-413 414-423 0
424-433 Exit4 0
Exit2 206-218 1
206-218 200-206 1
200-206 219-230 1
R0 232-236 1
232-236 231 1
231 306 1
306 305 1
305 306-316 1
306-316 S0B 1
S0B 317-328 1
317-328 S0C 1
S0C 329-337 1
338 329-337 1
338 S0D 1
339-344 338 1
346-348 300 1
300 S0A 1
301-304 300 1
305 301-304 1
408 347 1
408 409-413 1
D0A 408 1
D0A 414-423 1
D0A 406 1
406 404 1
404 405 1
404 403 1
403 D0B 1
D0B 400-402 1
507-517 527-534 0
527-534 R1B 0
527-534 526 0
519-525 526 0
526 606 0
606 605 0
558-564 552-557 1
552-557 545-551 1
545-551 535-544 1
552-557 R1A 1
R1A 505 1
535-544 500 1
505 501-503 1
501-503 500 1
505 507-517 1
507-517 519-525 1
500 R1B 1
605 607-632 1
607-632 S1B 1
S1B 633-640 1
S1C 633-640 1
641-659 S1C 1
660 641-659 1
662-663 660 1
600 662-663 1
S1A 600 1
601-604 600 1
605 601-604 1
661 660 1
703 661 1
705-707 703 1
708 705-707 1
709 708 1
D1A 709 1
D1A 703 1
702 D1A 1
701 702 1
711 701 1
711 710 1
710 708 1
700 701 1
D1B 700 1
715 D1B 1
712 715 1
712 710 1
716-734 712 1
D1C 716-734 1
855-864 848-855 0
R2A 803 0
803 804-825 0
836-843 801 0
804-825 826-829 0
831-835 830 0
826-829 830 0
830 909 0
910 911-916 0
848-855 R2A 1
848-855 844-847 1
844-847 836-843 1
803 802 1
802 801 1
801 R2B 1
R2B 831-835 1
831-835 804-825 1
909 910 1
910 901-908 1
901-908 900 1
900 S2 1
945-952 900 1
944 945-952 1
931-943 944 1
925-930 931-943 1
924 925-939 1
917-923 924 1
911-916 917-923 1
